"","Month","Hours watched (mins)","Average viewers","Peak viewers","Average channels","Peak channels","Hours streamed (mins)","Games streamed","Active affiliates","Active partners"
"75","August 2017","32007021960","717968","1824303","24711","36454","1101643800","15898","150439","18664"
"76","July 2017","34013953800","762986","1802287","25810","43137","1150616220","15962","146063","18429"
"77","June 2017","30649939800","710476","1935516","23412","36399","1010032080","15393","136058","18119"
"78","May 2017","30415651320","682271","1514023","22362","36115","996909120","15276","132051","17906"
"79","April 2017","32125878060","744688","1823848","22078","36939","952487100","15007","116995","17329"
"80","March 2017","30983998620","695020","1500730","23094","39747","1029558480","14794","113841","17170"
"81","February 2017","30055938480","746545","1524883","24219","40385","975077940","14737","113802","16721"
"82","January 2017","36075072000","809220","2284184","24081","40243","1073553420","14841","115447","16737"
"83","December 2016","29429071380","660140","1385864","22291","36915","993774720","14033","106404","16145"
"84","November 2016","26981305680","625435","1410023","20715","38234","893646480","13968","96632","15880"
"85","October 2016","27182100060","609737","1549150","19250","32931","858202320","13973","95532","15685"
"86","September 2016","21769992600","504635","1186009","16880","30957","728235960","13484","90028","14848"
"87","August 2016","22927042380","514289","1334490","16592","29061","739696440","13693","87572","14514"
"88","July 2016","26779909500","600715","1453743","18030","27522","803789160","12961","83858","14300"
"89","June 2016","26785760700","620903","1755888","18818","30935","811816740","12374","82394","14213"
"90","May 2016","26990197860","605432","1438962","19394","32880","864607020","12424","84012","14409"
"91","April 2016","22678526820","525696","1775120","16791","33973","724370340","12282","78753","14019"
"92","March 2016","29440158480","660389","1591551","20271","35019","903725040","12234","77899","13871"
"93","February 2016","26511593820","635769","1308032","20427","34954","851812440","12134","74572","13514"
"94","January 2016","28814514240","646355","1275257","20076","35788","895013760","12149","74399","13360"
